StateFIPS,State,CountyFIPS,County,Start Year,End Year,Value,Data Comment,Status,PWS ID,CWS Name,Population Served,,Contaminant
01,Alabama,01001,Autauga,2013,2015,20,,Detected (2),AL0000017,Waterworks Board of Prattville,39603,,PFHpA
01,Alabama,01021,Chilton,2013,2015,20,,Detected (2),AL0000213,Clanton Water Department,13500,,PFOA
01,Alabama,01021,Chilton,2013,2015,10,,Detected (2),AL0000213,Clanton Water Department,13500,,PFHpA
01,Alabama,01033,Colbert,2013,2015,50,,Detected (2),AL0000314,Colbert County Rural Water System,10731,,PFOS
01,Alabama,01033,Colbert,2013,2015,60,,Detected (2),AL0000314,Colbert County Rural Water System,10731,,PFOA
01,Alabama,01043,Cullman,2013,2015,180,,Detected (2),AL0000413,"VAW Water System, Inc.",29985,,PFOS
01,Alabama,01043,Cullman,2013,2015,90,,Detected (2),AL0000413,"VAW Water System, Inc.",29985,,PFOA
01,Alabama,01043,Cullman,2013,2015,20,,Detected (2),AL0000413,"VAW Water System, Inc.",29985,,PFHpA
01,Alabama,01049,DeKalb,2013,2015,70,,Detected (2),AL0001422,Northeast Alabama Water System,42609,,PFOS
01,Alabama,01049,DeKalb,2013,2015,40,,Detected (2),AL0001422,Northeast Alabama Water System,42609,,PFOA
01,Alabama,01049,DeKalb,2013,2015,20,,Detected (2),AL0001422,Northeast Alabama Water System,42609,,PFHpA
01,Alabama,01049,DeKalb,2013,2015,150,,Detected (2),AL0001422,Northeast Alabama Water System,42609,,PFBS
01,Alabama,01051,Elmore,2013,2015,10,,Detected (2),AL0000549,Tri Community Water System,10935,,PFHpA
01,Alabama,01055,Etowah,2013,2015,50,,Detected (2),AL0000577,Gadsden Waterworks & Sewer Board,44637,,PFOS
01,Alabama,01055,Etowah,2013,2015,40,,Detected (2),AL0000577,Gadsden Waterworks & Sewer Board,44637,,PFOA
01,Alabama,01055,Etowah,2013,2015,30,,Detected (2),AL0000577,Gadsden Waterworks & Sewer Board,44637,,PFHpA
01,Alabama,01055,Etowah,2013,2015,60,,Detected (2),AL0000588,Rainbow City Utilities Board,11748,,PFOS
01,Alabama,01055,Etowah,2013,2015,40,,Detected (2),AL0000588,Rainbow City Utilities Board,11748,,PFOA
01,Alabama,01055,Etowah,2013,2015,20,,Detected (2),AL0000588,Rainbow City Utilities Board,11748,,PFHpA
01,Alabama,01055,Etowah,2013,2015,100,,Detected (2),AL0000588,Rainbow City Utilities Board,11748,,PFBS
01,Alabama,01055,Etowah,2013,2015,50,,Detected (2),AL0000591,Southside Waterworks,10998,,PFOS
01,Alabama,01055,Etowah,2013,2015,40,,Detected (2),AL0000591,Southside Waterworks,10998,,PFOA
01,Alabama,01055,Etowah,2013,2015,20,,Detected (2),AL0000591,Southside Waterworks,10998,,PFHpA
01,Alabama,01077,Lauderdale,2013,2015,60,,Detected (2),AL0000783,Florence Water-Wastewater Department,66900,,PFOS
01,Alabama,01077,Lauderdale,2013,2015,20,,Detected (2),AL0000783,Florence Water-Wastewater Department,66900,,PFOA
01,Alabama,01079,Lawrence,2013,2015,90,,Detected (2),AL0000801,West Lawrence Water Co-op,14562,,PFOS
01,Alabama,01079,Lawrence,2013,2015,50,,Detected (2),AL0000801,West Lawrence Water Co-op,14562,,PFOA
01,Alabama,01079,Lawrence,2013,2015,10,,Detected (2),AL0000801,West Lawrence Water Co-op,14562,,PFHpA
01,Alabama,01095,Marshall,2013,2015,20,,Detected (2),AL0000933,Albertville Utilities Board,29991,,PFOA
01,Alabama,01095,Marshall,2013,2015,20,,Detected (2),AL0000933,Albertville Utilities Board,29991,,PFHpA
01,Alabama,01095,Marshall,2013,2015,20,,Detected (2),AL0000936,Boaz Water & Sewer Board,29196,,PFOA
01,Alabama,01095,Marshall,2013,2015,10,,Detected (2),AL0000936,Boaz Water & Sewer Board,29196,,PFHpA
01,Alabama,01103,Morgan,2013,2015,130,,Detected (2),AL0001092,West Morgan - East Lawrence Water Author,26130,,PFOS
01,Alabama,01103,Morgan,2013,2015,100,,Detected (2),AL0001092,West Morgan - East Lawrence Water Author,26130,,PFOA
01,Alabama,01103,Morgan,2013,2015,30,,Detected (2),AL0001092,West Morgan - East Lawrence Water Author,26130,,PFHpA
01,Alabama,01117,Shelby,2013,2015,10,,Detected (2),AL0001671,Shelby County Water System,34647,,PFHpA
04,Arizona,04007,Gila,2013,2015,48,,Detected (2),AZ0404032,PAYSON TOWN OF,17682,,PFOA
04,Arizona,04013,Maricopa,2013,2015,220,,Detected (2),AZ0407046,LIBERTY WATER LPSCO,45298,,PFOS
04,Arizona,04013,Maricopa,2013,2015,50,,Detected (2),AZ0407046,LIBERTY WATER LPSCO,45298,,PFOA
04,Arizona,04013,Maricopa,2013,2015,110,,Detected (2),AZ0407046,LIBERTY WATER LPSCO,45298,,PFHxS
04,Arizona,04013,Maricopa,2013,2015,30,,Detected (2),AZ0407046,LIBERTY WATER LPSCO,45298,,PFHpA
04,Arizona,04013,Maricopa,2013,2015,150,,Detected (2),AZ0407100,TEMPE CITY OF,165000,,PFOS
04,Arizona,04013,Maricopa,2013,2015,50,,Detected (2),AZ0407100,TEMPE CITY OF,165000,,PFOA
04,Arizona,04013,Maricopa,2013,2015,95,,Detected (2),AZ0407100,TEMPE CITY OF,165000,,PFHxS
04,Arizona,04013,Maricopa,2013,2015,13,,Detected (2),AZ0407100,TEMPE CITY OF,165000,,PFHpA
04,Arizona,04015,Mohave,2013,2015,300,,Detected (2),AZ0408001,OATMAN WATER COMPANY,129,,PFOS
04,Arizona,04015,Mohave,2013,2015,32,,Detected (2),AZ0408001,OATMAN WATER COMPANY,129,,PFOA
04,Arizona,04015,Mohave,2013,2015,730,,Detected (2),AZ0408001,OATMAN WATER COMPANY,129,,PFHxS
04,Arizona,04015,Mohave,2013,2015,15,,Detected (2),AZ0408001,OATMAN WATER COMPANY,129,,PFHpA
04,Arizona,04019,Pima,2013,2015,53,,Detected (2),AZ0410076,METROPOLITAN DWID,44998,,PFOS
04,Arizona,04019,Pima,2013,2015,56,,Detected (2),AZ0410112,TUCSON CITY OF,675686,,PFOS
04,Arizona,04019,Pima,2013,2015,420,,Detected (2),AZ0410112,TUCSON CITY OF,675686,,PFHxS
06,California,06001,Alameda,2013,2015,36,,Detected (2),CA0110008,CITY OF PLEASANTON,73067,,PFHxS
06,California,06007,Butte,2013,2015,76,,Detected (2),CA0410002,CAL-WATER SERVICE CO.-CHICO,100435,,PFOS
06,California,06007,Butte,2013,2015,42,,Detected (2),CA0410002,CAL-WATER SERVICE CO.-CHICO,100435,,PFHxS
06,California,06037,Los Angeles,2013,2015,54,,Detected (2),CA1910036,CALIFORNIA WATER SERVICE CO. - ELA,150446,,PFOS
