StateFIPS,State,Year,Value,Data Comment,,Gender
01,Alabama,2001,30.3,,,Male
01,Alabama,2001,7.5,,,Female
01,Alabama,2002,32.1,,,Male
01,Alabama,2002,8,,,Female
01,Alabama,2003,31.5,,,Male
01,Alabama,2003,7.1,,,Female
01,Alabama,2004,30.1,,,Male
01,Alabama,2004,8.4,,,Female
01,Alabama,2005,34.6,,,Male
01,Alabama,2005,7.2,,,Female
01,Alabama,2006,33.1,,,Male
01,Alabama,2006,7.1,,,Female
01,Alabama,2007,33.1,,,Male
01,Alabama,2007,8.3,,,Female
01,Alabama,2008,34.1,,,Male
01,Alabama,2008,6.8,,,Female
01,Alabama,2009,32.8,,,Male
01,Alabama,2009,7.5,,,Female
01,Alabama,2010,35.1,,,Male
01,Alabama,2010,7.9,,,Female
01,Alabama,2011,34.6,,,Male
01,Alabama,2011,8.5,,,Female
01,Alabama,2012,32.5,,,Male
01,Alabama,2012,6.8,,,Female
01,Alabama,2013,35.4,,,Male
01,Alabama,2013,8.1,,,Female
01,Alabama,2014,32.9,,,Male
01,Alabama,2014,7.1,,,Female
01,Alabama,2015,32.3,,,Male
01,Alabama,2015,7.4,,,Female
01,Alabama,2016,31,,,Male
01,Alabama,2016,7.7,,,Female
01,Alabama,2017,32.3,,,Male
01,Alabama,2017,7.2,,,Female
01,Alabama,2018,30,,,Male
01,Alabama,2018,7.7,,,Female
01,Alabama,2019,30.1,,,Male
01,Alabama,2019,7.5,,,Female
01,Alabama,2020,28.1,,,Male
01,Alabama,2020,6.8,,,Female
02,Alaska,2001,45.5,,,Male
02,Alaska,2001,7.5,,,Female
02,Alaska,2002,Suppressed,,,Male
02,Alaska,2002,Suppressed,Unstable,,Female
02,Alaska,2003,40.8,,,Male
02,Alaska,2003,10.2,,,Female
02,Alaska,2004,Suppressed,,,Male
02,Alaska,2004,Suppressed,,,Female
02,Alaska,2005,37.3,,,Male
02,Alaska,2005,9.6,,,Female
02,Alaska,2006,Suppressed,,,Male
02,Alaska,2006,Suppressed,,,Female
02,Alaska,2007,32.1,,,Male
02,Alaska,2007,9.9,,,Female
02,Alaska,2008,41.7,,,Male
02,Alaska,2008,9.7,,,Female
02,Alaska,2009,37.6,,,Male
02,Alaska,2009,13.3,,,Female
02,Alaska,2010,37.5,,,Male
02,Alaska,2010,9.8,,,Female
02,Alaska,2011,41.7,,,Male
02,Alaska,2011,12.5,,,Female
02,Alaska,2012,30.9,,,Male
02,Alaska,2012,10.4,,,Female
02,Alaska,2013,33.8,,,Male
02,Alaska,2013,10.5,,,Female
02,Alaska,2014,33.6,,,Male
02,Alaska,2014,6.9,,,Female
02,Alaska,2015,39.8,,,Male
02,Alaska,2015,11.2,,,Female
02,Alaska,2016,32.4,,,Male
02,Alaska,2016,9.1,,,Female
02,Alaska,2017,37.4,,,Male
02,Alaska,2017,7.5,,,Female
02,Alaska,2018,32.3,,,Male
02,Alaska,2018,6.1,,,Female
02,Alaska,2019,32,,,Male
02,Alaska,2019,5.8,,,Female
02,Alaska,2020,24.3,,,Male
02,Alaska,2020,8.5,,,Female
04,Arizona,2001,35.5,,,Male
04,Arizona,2001,8.2,,,Female
04,Arizona,2002,37.9,,,Male
04,Arizona,2002,9.3,,,Female
04,Arizona,2003,38,,,Male
04,Arizona,2003,9,,,Female
04,Arizona,2004,36.8,,,Male
04,Arizona,2004,9.4,,,Female
04,Arizona,2005,35.1,,,Male
04,Arizona,2005,9,,,Female
04,Arizona,2006,33.7,,,Male
04,Arizona,2006,8.9,,,Female
04,Arizona,2007,36.5,,,Male
04,Arizona,2007,9.4,,,Female
04,Arizona,2008,33.9,,,Male
04,Arizona,2008,9,,,Female
04,Arizona,2009,33.7,,,Male
04,Arizona,2009,8.5,,,Female
04,Arizona,2010,32.5,,,Male
04,Arizona,2010,8.7,,,Female
04,Arizona,2011,35.6,,,Male
04,Arizona,2011,8.3,,,Female
04,Arizona,2012,32.2,,,Male
04,Arizona,2012,8.8,,,Female
04,Arizona,2013,34.4,,,Male
04,Arizona,2013,7.1,,,Female
04,Arizona,2014,33.8,,,Male
04,Arizona,2014,8.1,,,Female
04,Arizona,2015,33.2,,,Male
04,Arizona,2015,7.8,,,Female
04,Arizona,2016,32.1,,,Male
04,Arizona,2016,7.9,,,Female
04,Arizona,2017,30.9,,,Male
04,Arizona,2017,7.7,,,Female
04,Arizona,2018,29.8,,,Male
04,Arizona,2018,7.1,,,Female
04,Arizona,2019,28.5,,,Male
04,Arizona,2019,7.5,,,Female
04,Arizona,2020,26.1,,,Male
04,Arizona,2020,5.9,,,Female
05,Arkansas,2001,34.7,,,Male
05,Arkansas,2001,9.4,,,Female
05,Arkansas,2002,35,,,Male
05,Arkansas,2002,7.7,,,Female
