StateFIPS,State,Year,Value,Data Comment,,Pollutant
01,Alabama,2005,0.83,,,Pollutant: Benzene
01,Alabama,2005,2.56,,,Pollutant: Formaldehyde
01,Alabama,2005,2.71,,,Pollutant: Acetaldehyde
01,Alabama,2005,0.61,,,Pollutant: Carbon tetrachloride
01,Alabama,2005,0.04,,,"Pollutant: 1,3-butadiene"
01,Alabama,2011,0.49,,,Pollutant: Benzene
01,Alabama,2011,2.46,,,Pollutant: Formaldehyde
01,Alabama,2011,3.16,,,Pollutant: Acetaldehyde
01,Alabama,2011,0.55,,,Pollutant: Carbon tetrachloride
01,Alabama,2011,0.04,,,"Pollutant: 1,3-butadiene"
01,Alabama,2014,0.35,,,Pollutant: Benzene
01,Alabama,2014,2.19,,,Pollutant: Formaldehyde
01,Alabama,2014,2.02,,,Pollutant: Acetaldehyde
01,Alabama,2014,0.53,,,Pollutant: Carbon tetrachloride
01,Alabama,2014,0.03,,,"Pollutant: 1,3-butadiene"
01,Alabama,2017,0.18,,,Pollutant: Benzene
01,Alabama,2017,1.75,,,Pollutant: Formaldehyde
01,Alabama,2017,1.42,,,Pollutant: Acetaldehyde
01,Alabama,2017,0.5,,,Pollutant: Carbon tetrachloride
01,Alabama,2018,0.18,,,Pollutant: Benzene
01,Alabama,2018,1.65,,,Pollutant: Formaldehyde
01,Alabama,2018,1.36,,,Pollutant: Acetaldehyde
01,Alabama,2018,0.37,,,Pollutant: Carbon tetrachloride
01,Alabama,2018,0.01,,,"Pollutant: 1,3-butadiene"
02,Alaska,2005,1.07,,,Pollutant: Benzene
02,Alaska,2005,1.13,,,Pollutant: Formaldehyde
02,Alaska,2005,1.13,,,Pollutant: Acetaldehyde
02,Alaska,2005,0.61,,,Pollutant: Carbon tetrachloride
02,Alaska,2005,0.04,,,"Pollutant: 1,3-butadiene"
02,Alaska,2011,0.68,,,Pollutant: Benzene
02,Alaska,2011,0.31,,,Pollutant: Formaldehyde
02,Alaska,2011,0.18,,,Pollutant: Acetaldehyde
02,Alaska,2011,0.55,,,Pollutant: Carbon tetrachloride
02,Alaska,2011,0.08,,,"Pollutant: 1,3-butadiene"
02,Alaska,2014,0.32,,,Pollutant: Benzene
02,Alaska,2014,0.25,,,Pollutant: Formaldehyde
02,Alaska,2014,0.29,,,Pollutant: Acetaldehyde
02,Alaska,2014,0.53,,,Pollutant: Carbon tetrachloride
02,Alaska,2014,0.03,,,"Pollutant: 1,3-butadiene"
02,Alaska,2017,0.14,,,Pollutant: Benzene
02,Alaska,2017,0.15,,,Pollutant: Formaldehyde
02,Alaska,2017,0.22,,,Pollutant: Acetaldehyde
02,Alaska,2017,0.53,,,Pollutant: Carbon tetrachloride
02,Alaska,2018,0.14,,,Pollutant: Benzene
02,Alaska,2018,0.28,,,Pollutant: Formaldehyde
02,Alaska,2018,0.32,,,Pollutant: Acetaldehyde
02,Alaska,2018,0.37,,,Pollutant: Carbon tetrachloride
02,Alaska,2018,0,,,"Pollutant: 1,3-butadiene"
04,Arizona,2005,1.08,,,Pollutant: Benzene
04,Arizona,2005,2.73,,,Pollutant: Formaldehyde
04,Arizona,2005,2.7,,,Pollutant: Acetaldehyde
04,Arizona,2005,0.61,,,Pollutant: Carbon tetrachloride
04,Arizona,2005,0.09,,,"Pollutant: 1,3-butadiene"
04,Arizona,2011,0.43,,,Pollutant: Benzene
04,Arizona,2011,2.12,,,Pollutant: Formaldehyde
04,Arizona,2011,2.7,,,Pollutant: Acetaldehyde
