bookID,title,authors,average_rating,language_code,  num_pages,ratings_count,text_reviews_count,publication_date,publisher
5219,The Bluest Eye,Toni Morrison,4.03,eng,216,3420,280,4/27/2000,Plume Books
6149,Beloved,Toni Morrison,3.83,eng,324,282045,9004,6/8/2004,Vintage
11337,The Bluest Eye,Toni Morrison,4.03,eng,216,132233,5507,9/6/2005,Plume
-1,Me and Earl and the Dying Girl,Jesse Andrews,3.52,eng,295,141943,15199,1/1/2012,FBAPowersetup
-1,This One Summer,Mariko Tamaki,3.69,eng,324,84170,8163,5/6/2014,First Second
-1,This Book is Gay,Juno Dawson,3.78,eng,273,10750,1746,9/4/2019,Hot Key Books
-1,Melissa,Alex Gino,4.1,eng,213,45629,8195,8/25/2015,Scholastic Inc.
-1,Looking for Alaska,John Green,3.97,eng,221,1598922,75468,12/28/2006,Speak
-1,Drama,Raina Telgemeier,4.19,eng,238,145420,7532,9/1/2012,Graphix
-1,Beyond Magenta: Transgender and Nonbinary Teens Speak Out,Susan Kuklin,3.81,eng,182,5022,867,2/11/2014,Candlewick Press
-1,"l8r,g8r",Lauren Myracle,3.75,eng,288,8032,589,3/1/2007,Amulet
-1,Thirteen Reasons Why,Jay Asher,3.85,eng,352,970264,56558,12/27/2016,Razorbill
-1,The Kite Runner,Khaled Hosseini,4.34,eng,371,3148671,98056,5/29/2003,Riverhead Books
-1,Crank,Ellen Hopkins,4.16,eng,537,145537,9295,11/1/2004,Margaret K. McElderry Books
-1,Me and Earl and the Dying Girl,Jesse Andrews,3.52,eng,295,141943,15199,1/1/2012,FBAPowersetup
-1,The Absolutely True Dairy of a Part-Time Indian,Sherman Alexie,4.07,eng,230,270048,27525,9/12/2007,Little
-1,The Hate U Give,Angie Thomas,4.47,eng,454,897508,75708,3/28/2017,Balzer+Bray
-1,Lawn Boy,Jonathan Evison,3.83,eng,320,8230,1364,4/3/2018,Algonquin Books
-1,Out of Darkness,Ashley Hope Pérez,4.13,eng,402,7588,1506,9/1/2015,Carolrhoda Lab
-1,All Boys Arent Blue,George M. Johnson,4.21,eng,304,37131,6070,4/28/2020,Farrar
-1,Gender Queer,Maia Kobabe,4.28,eng,240,59278,8438,5/28/2019,Oni Press
