Title,index,Author,Type of Ban,Secondary Author(s),Illustrator(s),Translator(s),State,District,Date of Challenge/Removal,Origin of Challenge,Rating,Number of Reviews
"""Multiplication Is for White People"": Raising Expectations for Other People's Children",515,"Delpit, Lisa",Banned in Classrooms,nan,nan,nan,Pennsylvania,Central York School District,August 2021,Administrator,4.21,1598.0
10 Things I Can See from Here,1450,"Mac, Carrie",Banned Pending Investigation,nan,nan,nan,Tennessee,Collierville Schools,February 2022,Administrator,3.57,2421.0
10 Things I Can See from Here,1451,"Mac, Carrie",Banned Pending Investigation,nan,nan,nan,Texas,North East Independent School District,December 2021,Administrator,3.57,2421.0
"10,000 Dresses",639,"Ewert, Marcus",Banned Pending Investigation,nan,"Ray, Rex",nan,Florida,Duval County Public Schools,January 2022,Administrator,3.8,1056.0
"101 Questions About Sex and Sexuality: With Answers for the Curious, Cautious, and Confused",305,"Brynie, Faith Hickman",Banned in Libraries,nan,nan,nan,Texas,North East Independent School District,December 2021,Administrator,3.86,6.0
14 Cows for America,514,"Deedy, Carmen Agra",Banned Pending Investigation,"Naiyomah, Wilson Kimeli","Gonzalez, Thomas",nan,Florida,Duval County Public Schools,January 2022,Administrator,4.32,3516.0
19 Love Songs,1348,"Levithan, David",Banned Pending Investigation,nan,nan,nan,Tennessee,Collierville Schools,February 2022,Administrator,3.66,1710.0
25 Women Who Dared to Go,1312,"Lassieur, Allison",Banned in Classrooms,nan,nan,nan,Pennsylvania,Central York School District,August 2021,Administrator,4.13,16.0
25 Women Who Fought Back,2135,"Sherman, Jill",Banned in Classrooms,nan,nan,nan,Pennsylvania,Central York School District,August 2021,Administrator,4.35,20.0
25 Women Who Ruled,2235,"Stanborough, Rebecca J.",Banned in Classrooms,nan,nan,nan,Pennsylvania,Central York School District,August 2021,Administrator,3.93,14.0
25 Women Who Thought of It First,2136,"Sherman, Jill",Banned in Classrooms,nan,nan,nan,Pennsylvania,Central York School District,August 2021,Administrator,4.17,23.0
33 Snowfish,1909,"Rapp, Adam",Banned in Libraries and Classrooms,nan,"Ering, Timothy Basil",nan,Idaho,Nampa School District,May 2022,Administrator,3.79,888.0
33 Snowfish,1910,"Rapp, Adam",Banned Pending Investigation,nan,"Ering, Timothy Basil",nan,Michigan,Gladwin Community Schools,May 2022,Administrator,3.79,888.0
33 Snowfish,1911,"Rapp, Adam",Banned Pending Investigation,nan,"Ering, Timothy Basil",nan,Virginia,Spotsylvania County Public Schools,November 2021,Administrator,3.79,888.0
47,1656,"Mosley, Walter",Banned in Classrooms,nan,nan,nan,Texas,Keller Independent School District,November 2021,Formal Challenge,4.38,21807.0
"47,000 Beads",11,"Adeyoha, Koja",Banned in Classrooms,"Adeyoha, Angel","McGillis, Holly",nan,Pennsylvania,Central York School District,August 2021,Administrator,4.52,115.0
642 Things to Write About,2048,San Francisco Writers' Grotto,Banned in Classrooms,nan,nan,nan,Ohio,Hudson City Schools,September 2021,Administrator,4.16,862.0
7 Days at the Hot Corner,2376,"Trueman, Terry",Banned Pending Investigation,nan,nan,nan,Texas,Granbury Independent School District,January 2022,Administrator,3.48,288.0
7 Days at the Hot Corner,2377,"Trueman, Terry",Banned Pending Investigation,nan,nan,nan,Texas,North East Independent School District,December 2021,Administrator,3.48,288.0
A Bad Boy Can Be Good for a Girl,2272,"Stone, Tanya Lee",Banned Pending Investigation,nan,nan,nan,Florida,Indian River County School District,November 2021,Administrator,3.51,1929.0
A Better Bad Idea,524,"Devore, Laurie",Banned Pending Investigation,nan,nan,nan,Tennessee,Collierville Schools,February 2022,Administrator,3.61,216.0
A Big Mooncake for Little Star,1371,"Lin, Grace",Banned in Classrooms,nan,nan,nan,Pennsylvania,Central York School District,August 2021,Administrator,4.21,3722.0
A Bike Like Sergio's,252,"Boelts, Maribeth",Banned in Classrooms,nan,"Jones, Noah Z.",nan,Pennsylvania,Central York School District,August 2021,Administrator,4.2,786.0
A Boy Called Bat (A Boy Called Bat Series),110,"Arnold, Elana K.",Banned in Classrooms,nan,"Santoso, Charles",nan,Pennsylvania,Central York School District,August 2021,Administrator,4.07,7583.0
A Case of Sense,485,"Daemicke, Songju Ma",Banned Pending Investigation,nan,"Bersani, Shennen",nan,Florida,Duval County Public Schools,January 2022,Administrator,3.8,7152.0
A Certain Slant of Light,2464,"Whitcomb, Laura",Banned in Libraries,nan,nan,nan,Florida,Indian River County School District,November 2021,Administrator,3.84,19740.0
A Complicated Love Story Set in Space,997,"Hutchinson, Shaun David",Banned Pending Investigation,nan,nan,nan,Tennessee,Collierville Schools,February 2022,Administrator,3.92,3408.0
A Court of Frost and Starlight (A Court of Thorns and Roses Series),1432,"Maas, Sarah J.",Banned Pending Investigation,nan,nan,nan,Florida,Brevard Public Schools,May 2022,Administrator,4.82,16080.0
A Court of Frost and Starlight (A Court of Thorns and Roses Series),1433,"Maas, Sarah J.",Banned in Libraries,nan,nan,nan,Florida,St. Johns County School District,May 2022,Formal Challenge,4.82,16080.0
A Court of Frost and Starlight (A Court of Thorns and Roses Series),1434,"Maas, Sarah J.",Banned in Classrooms,nan,nan,nan,Oklahoma,Bristow Public Schools,October 2021,Administrator,4.82,16080.0
A Court of Mist and Fury (A Court of Thorns and Roses Series),1435,"Maas, Sarah J.",Banned Pending Investigation,nan,nan,nan,Florida,Brevard Public Schools,March 2022,Administrator,4.82,16080.0
A Court of Mist and Fury (A Court of Thorns and Roses Series),1436,"Maas, Sarah J.",Banned in Libraries,nan,nan,nan,Florida,Indian River County School District,November 2021,Administrator,4.82,16080.0
A Court of Mist and Fury (A Court of Thorns and Roses Series),1437,"Maas, Sarah J.",Banned in Libraries and Classrooms,nan,nan,nan,Florida,Jackson County School District,April 2022,Administrator,4.82,16080.0
A Court of Mist and Fury (A Court of Thorns and Roses Series),1438,"Maas, Sarah J.",Banned Pending Investigation,nan,nan,nan,Florida,Walton County School District,April 2022,Administrator,4.82,16080.0
A Court of Mist and Fury (A Court of Thorns and Roses Series),1439,"Maas, Sarah J.",Banned in Libraries and Classrooms,nan,nan,nan,Idaho,Nampa School District,May 2022,Administrator,4.82,16080.0
A Court of Mist and Fury (A Court of Thorns and Roses Series),1440,"Maas, Sarah J.",Banned in Libraries,nan,nan,nan,Tennessee,Wilson County School District,May 2022,Other,4.82,16080.0
A Court of Mist and Fury (A Court of Thorns and Roses Series),1441,"Maas, Sarah J.",Banned in Libraries and Classrooms,nan,nan,nan,Texas,Katy Independent School District,January 2022,Administrator,4.82,16080.0
A Court of Thorns and Roses (A Court of Thorns and Roses Series),1444,"Maas, Sarah J.",Banned Pending Investigation,nan,nan,nan,Florida,Brevard Public Schools,May 2022,Administrator,4.82,16080.0
A Court of Thorns and Roses (A Court of Thorns and Roses Series),1445,"Maas, Sarah J.",Banned in Libraries,nan,nan,nan,Texas,Katy Independent School District,October 2021,Administrator,4.82,16080.0
A Court of Wings and Ruin (A Court of Thorns and Roses Series),1446,"Maas, Sarah J.",Banned Pending Investigation,nan,nan,nan,Florida,Brevard Public Schools,May 2022,Administrator,4.82,16080.0
A Curse of Roses,1863,"Pinguicha, Diana",Banned Pending Investigation,nan,nan,nan,Tennessee,Collierville Schools,February 2022,Administrator,3.78,1356.0
A Day in the Life of Marlon Bundo,2380,"Twiss, Jill",Banned Pending Investigation,nan,"Keller, E.G.",nan,Florida,Walton County School District,April 2022,Administrator,4.64,17329.0
A Day's Work,310,"Bunting, Eve",Banned Pending Investigation,nan,"Himler, Ronald",nan,Florida,Duval County Public Schools,January 2022,Administrator,4.07,280.0
A Dog Named Haku: A Holiday Story from Nepal,609,"Engle, Margarita",Banned Pending Investigation,"Karanjit, Amish; Karanjit, Nicole","Jeyaveeran, Ruth",nan,Florida,Duval County Public Schools,January 2022,Administrator,3.82,154.0
A Family Is a Family Is a Family,1744,"O'Leary, Sara",Banned Pending Investigation,nan,"Leng, Qin",nan,Florida,Duval County Public Schools,January 2022,Administrator,4.49,1423.0
A Girl on the Shore,120,"Asano, Inio",Banned in Libraries and Classrooms,nan,nan,nan,Ohio,Hudson City Schools,September 2021,Administrator,3.62,4713.0
A Good Kind of Trouble,1905,"Ramée, Lisa Moore",Banned in Classrooms,nan,nan,nan,Pennsylvania,Central York School District,August 2021,Administrator,4.25,7290.0
A Guy's Guide to Sexuality and Sexual Identity in the 21st Century,464,"Craig, Joe",Banned in Libraries,nan,nan,nan,Texas,North East Independent School District,December 2021,Administrator,3.0,1.0
A Handful of Stars,1401,"Lord, Cynthia",Banned Pending Investigation,nan,nan,nan,Florida,Duval County Public Schools,January 2022,Administrator,4.15,5734.0
A Home for Goddesses and Dogs,428,"Connor, Leslie",Banned in Libraries,nan,nan,nan,Texas,North East Independent School District,December 2021,Administrator,4.21,1139.0
A Kids Book About Racism,1556,"Memory, Jelani",Banned in Classrooms,nan,nan,nan,Pennsylvania,Central York School District,August 2021,Administrator,4.59,632.0
A Lesson Before Dying,722,"Gaines, Ernest J.",Banned Pending Investigation,nan,nan,nan,Virginia,Virginia Beach City Public Schools,October 2021,Administrator,3.98,60219.0
A Lesson in Vengeance,1341,"Lee, Victoria",Banned Pending Investigation,nan,nan,nan,Tennessee,Collierville Schools,February 2022,Administrator,3.56,19818.0
A Line in the Dark,1376,"Lo, Malinda",Banned Pending Investigation,nan,nan,nan,Texas,North East Independent School District,December 2021,Administrator,3.26,3934.0
A Little Piece of Ground,1306,"Laird, Elizabeth",Banned Pending Investigation,"Nimr, Sonia","Neal, Bill",nan,Florida,Duval County Public Schools,January 2022,Administrator,3.87,1021.0
A Long Pitch Home,1403,"Lorenzi, Natalie Dias",Banned Pending Investigation,nan,nan,nan,Florida,Duval County Public Schools,January 2022,Administrator,4.17,373.0
A Love Story Starring My Dead Best Friend,968,"Horner, Emily",Banned Pending Investigation,nan,nan,nan,Texas,Granbury Independent School District,January 2022,Administrator,3.71,2374.0
A Love Story Starring My Dead Best Friend,969,"Horner, Emily",Banned Pending Investigation,nan,nan,nan,Texas,North East Independent School District,December 2021,Administrator,3.71,2374.0
A Peacock Among Pigeons,483,"Curry, Tyler",Banned Pending Investigation,nan,"Gutierrez, Clarione",nan,Florida,Walton County School District,April 2022,Administrator,3.98,66.0
A Perfect Blank,590,"Duran, Rye",Banned Pending Investigation,nan,nan,nan,Tennessee,Collierville Schools,February 2022,Administrator,3.2,77.0
A Place at the Table,651,"Faruqi, Saadia",Banned in Classrooms,"Shovan, Laura",nan,nan,North Carolina,Wilkes County School District,May 2022,Administrator,3.73,5264.0
