Game,Round,Known Issue,Team,Player,Minutes,3 Point Attempted (Correct),3 Point Made (Correct),3 Point Attempted (Short),3 Point Made (Short),Correct Side 1st,,,,,,,,
Baylor vs. USC,Sweet 16,0,Baylor,Jana Van Gytenbeek,7,0,0,2,0,0,,,,,,,,
Baylor vs. USC,Sweet 16,0,Baylor,Denae Fritz,4,1,0,0,0,0,,,,,,,,
Baylor vs. USC,Sweet 16,0,Baylor,Sarah Andrews,36,8,4,5,1,0,,,,,,,,
Baylor vs. USC,Sweet 16,0,Baylor,Bella Fontleroy,30,3,1,2,0,0,,,,,,,,
Baylor vs. USC,Sweet 16,0,Baylor,Dre'una Edwards,23,2,1,2,1,0,,,,,,,,
Baylor vs. USC,Sweet 16,0,Baylor,Aijha Blackwell,18,0,0,1,1,0,,,,,,,,
Baylor vs. USC,Sweet 16,0,USC,Taylor Bigby,5,1,0,0,0,1,,,,,,,,
Baylor vs. USC,Sweet 16,0,USC,JuJu Watkins,38,3,0,8,2,1,,,,,,,,
Baylor vs. USC,Sweet 16,0,USC,Kayla Padilla,35,2,1,1,0,1,,,,,,,,
Baylor vs. USC,Sweet 16,0,USC,McKenzie Forbes,35,1,1,1,1,1,,,,,,,,
Gonzaga vs. Texas,Sweet 16,0,Gonzaga,Kaylynne Truong,37,4,1,2,0,1,,,,,,,,
Gonzaga vs. Texas,Sweet 16,0,Gonzaga,Brynna Maxwell,35,3,1,4,1,1,,,,,,,,
Gonzaga vs. Texas,Sweet 16,0,Gonzaga,Eliza Hollingsworth,32,0,0,2,1,1,,,,,,,,
Gonzaga vs. Texas,Sweet 16,0,Gonzaga,Kayleigh Truong,31,1,0,5,0,1,,,,,,,,
Gonzaga vs. Texas,Sweet 16,0,Gonzaga,Esther Little,15,1,0,0,0,1,,,,,,,,
Gonzaga vs. Texas,Sweet 16,0,Texas,Gisella Maul,9,0,0,1,0,0,,,,,,,,
Gonzaga vs. Texas,Sweet 16,0,Texas,Shaylee Gonzales,39,2,1,3,2,0,,,,,,,,
Gonzaga vs. Texas,Sweet 16,0,Texas,Shay Holle,38,1,0,2,2,0,,,,,,,,
Gonzaga vs. Texas,Sweet 16,0,Texas,Aaliyah Moore,33,0,0,1,0,0,,,,,,,,
NCSU vs. Texas,Sweet 16,0,NCSU,Aziaha James,40,5,5,4,2,1,,,,,,,,
NCSU vs. Texas,Sweet 16,0,NCSU,Saniya Rivers,40,2,0,1,0,1,,,,,,,,
NCSU vs. Texas,Sweet 16,0,NCSU,Mimi Collins,34,1,1,3,1,1,,,,,,,,
NCSU vs. Texas,Sweet 16,0,NCSU,Madison Hayes,31,0,0,1,0,1,,,,,,,,
NCSU vs. Texas,Sweet 16,0,NCSU,Zoe Brooks,26,1,0,0,0,1,,,,,,,,
NCSU vs. Texas,Sweet 16,0,Texas,Shay Holle,40,1,0,0,0,0,,,,,,,,
NCSU vs. Texas,Sweet 16,0,Texas,Madison Booker,36,1,0,0,0,0,,,,,,,,
NCSU vs. Texas,Sweet 16,0,Texas,Gisella Maul,3,0,0,1,1,0,,,,,,,,
NCSU vs. Texas,Sweet 16,0,Texas,Shaylee Gonzales,26,0,0,2,0,0,,,,,,,,
NCSU vs. Texas,Sweet 16,0,Texas,Ndjakalenga Mwenentanda,13,1,0,0,0,0,,,,,,,,
Duke vs. Uconn,Sweet 16,0,Duke,Emma Koabel,5,2,0,0,0,1,,,,,,,,
Duke vs. Uconn,Sweet 16,0,Duke,Reigan Richardson,37,2,0,3,0,1,,,,,,,,
Duke vs. Uconn,Sweet 16,0,Duke,Ashlon Jackson,32,2,1,1,0,1,,,,,,,,
Duke vs. Uconn,Sweet 16,0,Duke,Oluchi Okananwa,29,1,0,5,2,1,,,,,,,,
Duke vs. Uconn,Sweet 16,0,Duke,Kennedy Brown,26,1,0,0,0,1,,,,,,,,
Duke vs. Uconn,Sweet 16,0,Duke,Taina Mair,23,1,0,1,1,1,,,,,,,,
Duke vs. Uconn,Sweet 16,0,Uconn,KK Arnold,40,4,0,0,0,0,,,,,,,,
Duke vs. Uconn,Sweet 16,0,Uconn,Paige Bueckers,40,4,2,2,0,0,,,,,,,,
Duke vs. Uconn,Sweet 16,0,Uconn,Nika Muhl,40,2,1,1,0,0,,,,,,,,
Duke vs. Uconn,Sweet 16,0,Uconn,Ashlynn Shade,37,1,0,2,0,0,,,,,,,,
NCSU vs. Stanford,Elite 8,1,NCSU,Saniya Rivers,39,2,0,1,1,0,,,,,,,,
NCSU vs. Stanford,Elite 8,1,NCSU,Aziaha James,35,5,3,0,0,0,,,,,,,,
NCSU vs. Stanford,Elite 8,1,NCSU,Madison Hayes,33,1,1,2,1,0,,,,,,,,
NCSU vs. Stanford,Elite 8,1,NCSU,Zoe Brooks,32,0,0,2,0,0,,,,,,,,
NCSU vs. Stanford,Elite 8,1,NCSU,Mimi Collins,23,2,0,2,1,0,,,,,,,,
NCSU vs. Stanford,Elite 8,1,Stanford,Jzaniya Harriel,8,1,0,1,0,1,,,,,,,,
NCSU vs. Stanford,Elite 8,1,Stanford,Hannah Jump,40,6,2,2,1,1,,,,,,,,
NCSU vs. Stanford,Elite 8,1,Stanford,Brooke Demetre,33,1,0,4,1,1,,,,,,,,
NCSU vs. Stanford,Elite 8,1,Stanford,Talana Lepolo,29,2,0,2,0,1,,,,,,,,
NCSU vs. Stanford,Elite 8,1,Stanford,Cameron Brink,23,1,1,0,0,1,,,,,,,,
NCSU vs. Stanford,Elite 8,1,Stanford,Elena Bosgana,23,1,0,1,0,1,,,,,,,,
NCSU vs. Stanford,Elite 8,1,Stanford,Chloe Clardy,2,0,0,1,0,1,,,,,,,,
NCSU vs. Stanford,Elite 8,1,Stanford,Nunu Agara,14,0,0,2,0,1,,,,,,,,
