SEASON,PLAYER,TEAM,G,GS,MIN,PTS,FGM,FGA,FG%,2PM,2PA,2P%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,TRB,AST,TOV,STL,BLK,PF
2023-24,Caitlin Clark,Iowa,6,6,37.8,30,9.8,23,42.80%,5.2,10,51.70%,4.7,13,35.90%,5.7,6.5,87.20%,0.8,6.8,7.7,8.7,4.5,1.7,0.5,2.3
2023-24,Paige Bueckers,UConn,5,5,39.1,25.8,10.4,21,49.50%,8.2,15,54.70%,2.2,6,36.70%,2.8,3.8,73.70%,1.8,6.2,8,4.6,2.4,2.6,1.2,1.8
2023-24,Aziaha James,NC State,5,5,37.6,23.4,7.6,16,47.50%,3.8,8.4,45.20%,3.8,7.6,50.00%,4.4,5.2,84.60%,0.2,3,3.2,3.2,1.2,0.8,0.2,1.4
2023-24,JuJu Watkins,Southern California,4,4,36.9,27.5,8.5,23,37.00%,6.3,15.3,41.00%,2.3,7.8,29.00%,8.3,9.3,89.20%,1,7,8,3.8,3.5,1.5,2.5,2.5
2023-24,Kate Martin,Iowa,6,6,34.4,14,4.8,11.2,43.30%,3.7,7.2,51.20%,1.2,4,29.20%,3.2,3.8,82.60%,1.3,7.3,8.7,1,3,0.8,0.5,1.5
2023-24,Aaliyah Edwards,UConn,5,5,33.4,16.8,6.6,11.2,58.90%,6.6,11.2,58.90%,0,0,--,3.6,5,72.00%,1.2,7.2,8.4,2,3.6,1.8,1.6,3.4
2023-24,Kiki Iriafen,Stanford,3,3,30.4,28,10.7,20,53.30%,10.7,19.7,54.20%,0,0.3,0.00%,6.7,7.3,90.90%,2.7,9,11.7,3.3,3.3,0.7,1.3,2.7
2023-24,Kamilla Cardoso,South Carolina,5,5,26.9,16.6,7.4,11.6,63.80%,7.4,11.6,63.80%,0,0,--,1.8,3.2,56.30%,4.6,6.2,10.8,1.4,0.6,0.8,1.6,1.8
2023-24,Flau'jae Johnson,LSU,4,4,38.2,20.5,7,12,58.30%,5.5,8.5,64.70%,1.5,3.5,42.90%,5,6.5,76.90%,1.8,4.5,6.3,2.3,2.5,1,2,2.3
2023-24,McKenzie Forbes,Southern California,4,4,35.5,20.3,7,16.8,41.80%,3,7.5,40.00%,4,9.3,43.20%,2.3,2.5,90.00%,1.3,1.3,2.5,3,3.8,1,1,2.5
2023-24,Sydney Affolter,Iowa,6,6,34.6,12.2,4.2,7.2,58.10%,3.3,5.2,64.50%,0.8,2,41.70%,3,3.7,81.80%,1.7,4,5.7,2,1.7,1.2,0,2
2023-24,Sonia Citron,Notre Dame,3,3,39.9,22.7,9,19,47.40%,7.3,14.3,51.20%,1.7,4.7,35.70%,3,3,100.00%,1,6.7,7.7,3.7,3,2,0.3,2.7
2023-24,MiLaysia Fulwiley,South Carolina,6,0,17,11.2,4.2,10.2,41.00%,2.2,5.3,40.60%,2,4.8,41.40%,0.8,1.2,71.40%,0.8,2.3,3.2,1.7,1.3,1.2,1,1.7
2023-24,Aneesah Morrow,LSU,4,4,36.5,16.3,6.5,13.5,48.10%,6.3,12.5,50.00%,0.3,1,25.00%,3,5,60.00%,3.3,6.3,9.5,1.5,2,1.5,0.3,2.5
2023-24,Saniya Rivers,NC State,5,5,36.4,13,4.2,13,32.30%,3.2,10,32.00%,1,3,33.30%,3.6,5.2,69.20%,0.2,5.2,5.4,2.2,2.4,1.4,1.2,1.4
2023-24,Hannah Stuelke,Iowa,6,6,26,10.8,3.7,7,52.40%,3.7,7,52.40%,0,0,--,3.5,5.2,67.70%,2.2,3.5,5.7,0.8,1.8,0.2,1.2,2.8
2023-24,Reigan Richardson,Duke,3,3,35.8,21,8.7,17,51.00%,7,12.7,55.30%,1.7,4.3,38.50%,2,2.3,85.70%,0.7,4.7,5.3,0.7,1.3,1.3,0.3,1.3
2023-24,Raegan Beers,Oregon St.,4,4,29.6,15.8,6.8,9.8,69.20%,6.8,9.8,69.20%,0,0,--,2.3,4.8,47.40%,2,7,9,0.8,3.3,1.3,1.5,2.8
2023-24,Angel Reese,LSU,4,4,34.9,15.8,4.8,14.3,33.30%,4.8,14.3,33.30%,0,0,--,6.3,9.3,67.60%,5,10.3,15.3,2,2.5,2.8,1.8,3.8
2023-24,Te-Hina Paopao,South Carolina,6,6,26.1,10.5,3.8,8.3,46.00%,1.5,3.2,47.40%,2.3,5.2,45.20%,0.5,0.7,75.00%,0.3,1.8,2.2,3.3,2,0.7,0.2,1
2023-24,Alissa Pili,Utah,2,2,35.2,30.5,11.5,20,57.50%,8,13,61.50%,3.5,7,50.00%,4,4.5,88.90%,2.5,4.5,7,2,2.5,2,1,4
2023-24,Tessa Johnson,South Carolina,6,1,24.9,10.2,3.3,8.2,40.80%,1.8,4.3,42.30%,1.5,3.8,39.10%,2,2.2,92.30%,0.5,1.7,2.2,1.3,0.7,0.5,0.2,1
2023-24,Mikaylah Williams,LSU,4,4,36.9,15,5.8,12.5,46.00%,3.8,8,46.90%,2,4.5,44.40%,1.5,2,75.00%,1,4,5,1.8,2.5,1,0,2.3
2023-24,Timea Gardiner,Oregon St.,4,4,31.7,15,5.3,10.5,50.00%,3.3,4.5,72.20%,2,6,33.30%,2.5,3,83.30%,0.8,8.5,9.3,2,2.5,0,1.3,2.5
2023-24,Rickea Jackson,Tennessee,2,2,33.8,29.5,11.5,18,63.90%,10.5,16,65.60%,1,2,50.00%,5.5,6,91.70%,1,8.5,9.5,1,2.5,0,0,2
2023-24,River Baldwin,NC State,5,5,26.5,11.6,4,7.8,51.30%,4,7.8,51.30%,0,0,--,3.6,4.2,85.70%,2,4.6,6.6,0.2,1.2,0.8,1.2,2.2
2023-24,Aaliyah Moore,Texas,4,4,27.5,14.3,5.5,11.3,48.90%,5.3,10.8,48.80%,0.3,0.5,50.00%,3,4.3,70.60%,3.8,4.5,8.3,2.8,2,1,0.5,2
