dynamicProperties,individualCount,sex,occurrenceRemarks,waterBody,country,countryCode,stateProvince,locality,decimalLatitude,decimalLongitude,vernacularName
"{""conditions"": ""Calm"", ""visibility"": ""Good"", ""sightingType"": ""Diving/Snorkelling"", ""dcterms:bibliographicCitation"": ""Kempster RM and Egeberg CA (2015). SharkBase citizen science global chondrichthyan sighting database. Support Our Sharks Ocean Conservation Society. Version 2015.07. www.shark-base.org (consulted on 29/06/2015)""}",1,,Survey dive,Pacific Ocean,Fiji,FJ,,Swim Through City,-18.343692,177.999629,Whitetip Reef Shark
"{""conditions"": ""Calm"", ""sightingURL"": ""https://vimeo.com/99689620"", ""visibility"": ""-unknown-"", ""sightingType"": ""Other..."", ""dcterms:bibliographicCitation"": ""Kempster RM and Egeberg CA (2015). SharkBase citizen science global chondrichthyan sighting database. Support Our Sharks Ocean Conservation Society. Version 2015.07. www.shark-base.org (consulted on 29/06/2015)""}",5,,,-none-,Australia,AU,South Australia,Neptune Islands,-35.198646,136.075215,White Shark
"{""conditions"": ""Calm"", ""visibility"": ""Good"", ""sightingType"": ""Other..."", ""dcterms:bibliographicCitation"": ""Kempster RM and Egeberg CA (2015). SharkBase citizen science global chondrichthyan sighting database. Support Our Sharks Ocean Conservation Society. Version 2015.07. www.shark-base.org (consulted on 29/06/2015)""}",1,,,Pacific Ocean,Costa Rica,CR,,grande beach,10.327193,-85.846264,Bull Shark
"{""conditions"": ""Choppy"", ""visibility"": ""Fair"", ""sightingType"": ""Boat"", ""dcterms:bibliographicCitation"": ""Kempster RM and Egeberg CA (2015). SharkBase citizen science global chondrichthyan sighting database. Support Our Sharks Ocean Conservation Society. Version 2015.07. www.shark-base.org (consulted on 29/06/2015)""}",1,,"This shark had very specific black markings along the left side of her body, seen as three large black scars under her dorsal fin. She also had scaring on her right gills. I volunteered with White Shark Africa throughout the entire month of May, 2014, and this shark was re-sighted almost on a daily basis throughout the entire month.",Indian Ocean,South Africa,ZA,,"Seal Island, Mossel Bay, South Africa",-34.150992,22.119455,White Shark
"{""conditions"": ""Choppy"", ""visibility"": ""Good"", ""sightingType"": ""Diving/Snorkelling"", ""dcterms:bibliographicCitation"": ""Kempster RM and Egeberg CA (2015). SharkBase citizen science global chondrichthyan sighting database. Support Our Sharks Ocean Conservation Society. Version 2015.07. www.shark-base.org (consulted on 29/06/2015)""}",1,,"Female, 2m WAS PREGNANT !!!  She was hunting for a small fish.",Indian Ocean,Maldives,MV,,Maldives,-1.142402,73.536103,Tawny Shark
"{""conditions"": ""Calm"", ""visibility"": ""Good"", ""sightingType"": ""Diving/Snorkelling"", ""dcterms:bibliographicCitation"": ""Kempster RM and Egeberg CA (2015). SharkBase citizen science global chondrichthyan sighting database. Support Our Sharks Ocean Conservation Society. Version 2015.07. www.shark-base.org (consulted on 29/06/2015)""}",1,,,Indian Ocean,South Africa,ZA,,Sodwana Bay,-27.531802,32.682923,Grey Reef Shark
"{""conditions"": ""Calm"", ""visibility"": ""Good"", ""sightingType"": ""Diving/Snorkelling"", ""dcterms:bibliographicCitation"": ""Kempster RM and Egeberg CA (2015). SharkBase citizen science global chondrichthyan sighting database. Support Our Sharks Ocean Conservation Society. Version 2015.07. www.shark-base.org (consulted on 29/06/2015)""}",1,,Survey dive,Pacific Ocean,Fiji,FJ,,Aquarium 1,-18.337133,178.007639,Bluespotted Fantail Ray
"{""conditions"": ""Calm"", ""visibility"": ""Good"", ""sightingType"": ""Diving/Snorkelling"", ""dcterms:bibliographicCitation"": ""Kempster RM and Egeberg CA (2015). SharkBase citizen science global chondrichthyan sighting database. Support Our Sharks Ocean Conservation Society. Version 2015.07. www.shark-base.org (consulted on 29/06/2015)""}",1,,,Pacific Ocean,Fiji,FJ,,Swim Through City,-18.343774,177.999629,Blacktip Reef Shark
"{""conditions"": ""Choppy"", ""visibility"": ""-unknown-"", ""sightingType"": ""Diving/Snorkelling"", ""dcterms:bibliographicCitation"": ""Kempster RM and Egeberg CA (2015). SharkBase citizen science global chondrichthyan sighting database. Support Our Sharks Ocean Conservation Society. Version 2015.07. www.shark-base.org (consulted on 29/06/2015)""}",1,,,Indian Ocean,South Africa,ZA,,"Sodwana Bay, 8 Mile",-27.446,32.71325,Whitetip Reef Shark
"{""conditions"": ""Calm"", ""visibility"": ""Good"", ""sightingType"": ""Diving/Snorkelling"", ""dcterms:bibliographicCitation"": ""Kempster RM and Egeberg CA (2015). SharkBase citizen science global chondrichthyan sighting database. Support Our Sharks Ocean Conservation Society. Version 2015.07. www.shark-base.org (consulted on 29/06/2015)""}",1,FEMALE,,Pacific Ocean,Fiji,FJ,,Anders' Place,-18.436582,178.128145,Whitetip Reef Shark
