Date,Year,Type,Country,Area,Location,Activity,Injury,Species 
6/23/23,2023,Unprovoked,USA,Florida,Cocoa Beach; Brevard County,Swimming,Multiple puncture wounds to right thigh,
5/21/23,2023,Unprovoked,USA,New Jersey,Stone Harbor; Cape May County,Surfing,Lacerations to left foot and calf,
1/5/23,2023,Unprovoked,MeXICO,Gulf of California,Tobari Bay,Diving with  surface-supplied air,Fatal,
8/15/22,2022,Unprovoked,USA,South Carolina,Myrtle Beach; Horry County,Standing,Multiple lLacerations to right forearm,Blacktip shark
8/7/21,2021,Unprovoked,USA,Florida,New Smyrna Beach; Volusia County,Surfing,Minor cuts to right foot and ankle,
7/11/21,2021,Provoked,BAHAMAS,,,Jackass Team's publicity stunt for Discovery Channel's Shark Week 2021,Lacerations to right hand  PROVOKED INCIDENT,
7/3/21,2021,Unprovoked,ECUADOR,Galapagos,,Diving,Single bite to right thigh,Galapagos shark
6/23/21,2021,Unprovoked,AUSTRALIA,Western Australia,Gum Tree Bay,Surfing,Lacerations to calf and ankle,
6/18/21,2021,Unprovoked,USA,Florida,Bethune Beach; Volusia County,Standing,Left arm bitten,
12/9/20,2020,Unprovoked,AUSTRALIA,Western Australia,Cable Beach,Surfing,No injury; Board bitten,
11/26/20,2020,Unprovoked,USA,Hawaii,Maui,Snorkeling,Severe injury to torso,
8/28/20,2020,Unprovoked,USA,California,Shelter Cove; Humboldt County,Kayak fishing,No injury; kayak damaged,White shark
8/20/20,2020,Unprovoked,USA,Florida,New Smyrna Beach; Volusia County,Boogie boarding,Minor lacerations to left leg,
7/31/20,2020,Unprovoked,USA,Alabama,Orange Beach; Baldwin County,Swimming,Lacerations to foot and toes,Blacktip or Spinner shark
11/23/19,2019,Questionable,AUSTRALIA,Queensland,Elliot Head; near Bundaberg.,Spearfishing,Believed to have drowned. Partial remains washed ashore at North Beach; Mylestom; New South Wales on 17 December. Shark involvement prior to death could not be confirmed,
10/8/19,2019,Unprovoked,USA,Florida,Fort Pierce; St. Lucie County,Surfing,Lacerations to right foot,
10/5/19,2019,Unprovoked,AUSTRALIA,New South Wales,Lighthouse Beach,Surfing,No injury; surfboard severely damaged,White shark; 3.5 m
9/26/19,2019,Unprovoked,USA,Hawaii,Kihei; South Maui,Surfing,No injury; back of board bitten,6' to 7' shark
8/11/19,2019,Unprovoked,USA,Hawaii,Makaha Beach; Oahu,Surfing,No injury; board damaged,10' to 12' shark
4/6/19,2019,Questionable,USA,Hawaii,North Koahala; Big Island,Picking opihi,Probable death by drowning; body scavenged by shark,Tiger shark
11/7/18,2018,Unprovoked,AUSTRALIA,New South Wales,Shelly Beach; Ballina,Surfing,20 cm injury to left calf,5' shark
9/27/18,2018,Watercraft,USA,California,Humboldt County,Fishing,No injury; shark nicked kayak,White shark
8/15/18,2018,Unprovoked,USA,Massachusetts,Longnook Beach; Truro; Barnstable County,Swimming,Lacerations to leg; hip and hand,White shark
7/13/18,2018,Unprovoked,USA,Florida,Fernandina Beach; Nassau County,Wading,Foot bitten,
6/18/18,2018,Provoked,USA,Florida,Near the Bahia Honda Bridge; Monroe County,Fishing,Injury to fingers while removing hook from shark          PROVOKED INCIDENT,Nurse shark
9/2/17,2017,Unprovoked,USA,Florida,New Smyrna Beach; Volusia County,Surfing,Minor injury to right hand,
2/21/17,2017,Unprovoked,REUNION,Saint-Andre,,Body boarding,Fatal,
10/12/16,2016,Unprovoked,AUSTRALIA,New South Wales,Sharpes Beach; Ballina,Surfing,Minor wound to lower right leg & surfboard bitten,
4/18/16,2016,Provoked,FRENCH POLYNESIA,Tuamotos,Makemo Atoll,Spearfishing,Severe lacerations to right forearm; hand and calf from speared shark PROVOKED INCIDENT,Grey reef shark; 2 m
3/13/16,2016,Invalid,USA,California,Bolsa Chica State Park; Orange County,Surfing,Board reportedly bumped by shark. No injury,Shark involvement not confirmed
2/4/16,2016,Unprovoked,AUSTRALIA,New South Wales,Hams Beach,Windsurfing,No injury; shark bit board,
12/22/15,2015,Unprovoked,USA,Hawaii,La'aloa Beach Park,Paddle boarding,No injury; shark bit board,9' shark
7/25/15,2015,Unprovoked,AUSTRALIA,Tasmania,Lachan Island; Mercury Passage,Scallop diving on hookah,FATAL,White shark; 3.9 to 4.2 m
7/19/15,2015,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Jeffrey's Bay,Surfing,No injury,White shark
6/27/15,2015,Unprovoked,USA,North Carolina,Rodanthe; Dare County,Swimming,Injuries to right calf; buttock and both hands,Bull shark
6/5/15,2015,Unprovoked,USA,Florida,Fort Lauderdale,Attempting to rescue a shark,Puncture wound to finger,small nurse shark
12/3/14,2014,Provoked,SPAIN,Granada,Off Motril,Fishing for blue sharks,Glancing bite to wrist from netted shark PROVOKED INCIDENT,
11/16/14,2014,Unprovoked,USA,Florida,Indian Harbor Beach; Brevard County,Surfing,Laceration to left hand,2' shark
9/12/14,2014,Unprovoked,FRENCH POLYNESIA,Moorea,Tiahura Lagoon,Feeding fish,Thumb & finger nipped,Blacktip shark
9/3/14,2014,Watercraft,USA,Massachusetts,Manomet Point; Plymouth; Plymouth County,Kayaking,No injury; shark bit kayak,White shark; 12' to 14'
4/24/14,2014,Unprovoked,AUSTRALIA,Western Australia,South Passage; south of Coral Bay,Spearfishing,Minor injury,reef shark?
12/2/13,2013,Unprovoked,USA,Hawaii,Between  Makena & Molokini; Maui,Kayaking / Fishing,FATAL,
9/8/13,2013,Unprovoked,USA,South Carolina,St. Helena Island; Beaufort County,,No details,
7/7/13,2013,Invalid,SPAIN,Catalonia,Sant Marti d’Empuries Beach; L’Escala,Swimming,Scrape to right forearm. Frennet says inflicted by a blue shark; but authorities question shark involvement,Shark involvement not confirmed
12/1/12,2012,Unprovoked,NEW ZEALAND,South Island,Sunday Cove; Fiordland,Scuba diving,No injury; shark grabbed hood,Seven-gill shark
7/31/12,2012,Unprovoked,AUSTRALIA,South Australia,Streaky Bay,Surfing,Lacerations to torso & arm,White shark or bronze whaler
6/3/12,2012,Unprovoked,AUSTRALIA,New South Wales,Redhead Beach; Newcastle,Surf skiing,No injury; ski bitten,White shark; 2 m
