COOPID, YEAR, MONTH, DAY, PRECIPITATION, MAX TEMP, MIN TEMP, MEAN TEMP
84366,1970,1,1,0.44,60,46,53
84366,1970,1,2,0.08,52,39,45.5
84366,1970,1,3,0.16,53,43,48
84366,1970,1,4,0,44,33,38.5
84366,1970,1,5,0.02,64,40,52
84366,1970,1,6,2.55,69,51,60
84366,1970,1,7,0.03,52,37,44.5
84366,1970,1,8,0,42,21,31.5
84366,1970,1,9,0,37,20,28.5
84366,1970,1,10,0,35,22,28.5
84366,1970,1,11,0,50,26,38
84366,1970,1,12,0.3,66,49,57.5
84366,1970,1,13,0.01,54,41,47.5
84366,1970,1,14,0,55,46,50.5
84366,1970,1,15,1.6,56,50,53
84366,1970,1,16,0.52,55,51,53
84366,1970,1,17,0.32,70,51,60.5
84366,1970,1,18,0,60,51,55.5
84366,1970,1,19,0,65,51,58
84366,1970,1,20,0,60,43,51.5
84366,1970,1,21,0,53,35,44
84366,1970,1,22,0,45,39,42
84366,1970,1,23,0.08,61,33,47
84366,1970,1,24,0,51,36,43.5
84366,1970,1,25,0,71,34,52.5
84366,1970,1,26,0.03,73,52,62.5
84366,1970,1,27,0,67,54,60.5
84366,1970,1,28,0,68,45,56.5
84366,1970,1,29,0,80,56,68
84366,1970,1,30,0.2,65,49,57
84366,1970,1,31,0,50,34,42
84366,1970,2,1,0,63,36,49.5
84366,1970,2,2,0.13,68,56,62
84366,1970,2,3,4.18,70,43,56.5
84366,1970,2,4,0,45,24,34.5
84366,1970,2,5,0,52,33,42.5
84366,1970,2,6,0,53,48,50.5
84366,1970,2,7,0,56,42,49
84366,1970,2,8,0,57,43,50
84366,1970,2,9,0.12,70,44,57
84366,1970,2,10,0,56,38,47
84366,1970,2,11,0,67,41,54
84366,1970,2,12,0,69,49,59
84366,1970,2,13,0,65,38,51.5
84366,1970,2,14,0,66,41,53.5
84366,1970,2,15,0,68,52,60
84366,1970,2,16,2.1,72,57,64.5
84366,1970,2,17,0.29,64,50,57
84366,1970,2,18,0,59,46,52.5
84366,1970,2,19,0,74,47,60.5
84366,1970,2,20,0,65,45,55
84366,1970,2,21,0,53,36,44.5
84366,1970,2,22,0,62,38,50
84366,1970,2,23,0,62,47,54.5
84366,1970,2,24,0,67,46,56.5
84366,1970,2,25,0.1,66,50,58
84366,1970,2,26,0,66,35,50.5
84366,1970,2,27,0,57,35,46
84366,1970,2,28,0,61,40,50.5
84366,1970,2,29,-99.99,-99.9,-99.9,-99.9
84366,1970,3,1,0,68,47,57.5
84366,1970,3,2,0,70,50,60
84366,1970,3,3,0,70,50,60
84366,1970,3,4,0,71,59,65
84366,1970,3,5,0.18,68,59,63.5
84366,1970,3,6,0,64,50,57
84366,1970,3,7,0,68,53,60.5
84366,1970,3,8,0.52,62,57,59.5
84366,1970,3,9,0.12,68,50,59
84366,1970,3,10,0,72,49,60.5
84366,1970,3,11,0,68,58,63
84366,1970,3,12,0.05,81,60,70.5
84366,1970,3,13,0.04,69,52,60.5
84366,1970,3,14,0,66,39,52.5
84366,1970,3,15,0,66,38,52
84366,1970,3,16,0,55,40,47.5
84366,1970,3,17,0,68,51,59.5
84366,1970,3,18,0.24,82,57,69.5
84366,1970,3,19,0,82,60,71
84366,1970,3,20,0,85,64,74.5
84366,1970,3,21,0,83,66,74.5
84366,1970,3,22,0.05,74,62,68
84366,1970,3,23,0,67,42,54.5
84366,1970,3,24,0,77,48,62.5
84366,1970,3,25,0,69,47,58
84366,1970,3,26,0,80,60,70
84366,1970,3,27,0,71,50,60.5
84366,1970,3,28,5.21,65,57,61
84366,1970,3,29,1.02,77,63,70
84366,1970,3,30,0.06,74,64,69
84366,1970,3,31,0,89,63,76
84366,1970,4,1,0.05,75,62,68.5
84366,1970,4,2,0.23,81,61,71
84366,1970,4,3,0,70,50,60
84366,1970,4,4,0.01,69,55,62
84366,1970,4,5,0.95,65,61,63
84366,1970,4,6,0,67,55,61
84366,1970,4,7,0,69,54,61.5
84366,1970,4,8,0,70,59,64.5
84366,1970,4,9,0,79,59,69
84366,1970,4,10,0,79,58,68.5
84366,1970,4,11,0,74,63,68.5
84366,1970,4,12,0.35,71,63,67
84366,1970,4,13,0,76,61,68.5
84366,1970,4,14,0,87,68,77.5
84366,1970,4,15,0,79,56,67.5
84366,1970,4,16,0,73,54,63.5
84366,1970,4,17,0,77,60,68.5
84366,1970,4,18,0,77,61,69
84366,1970,4,19,0,83,62,72.5
84366,1970,4,20,0.05,76,64,70
84366,1970,4,21,0,90,66,78
84366,1970,4,22,0,80,67,73.5
84366,1970,4,23,0,80,67,73.5
84366,1970,4,24,0,88,67,77.5
84366,1970,4,25,0,78,66,72
84366,1970,4,26,0,86,67,76.5
84366,1970,4,27,0,88,68,78
84366,1970,4,28,0,-99.9,61,-99.9
84366,1970,4,29,0,82,66,74
84366,1970,4,30,0,83,69,76
84366,1970,5,1,0,82,71,76.5
84366,1970,5,2,0,81,70,75.5
84366,1970,5,3,0,80,61,70.5
84366,1970,5,4,1.61,77,62,69.5
84366,1970,5,5,0,73,56,64.5
84366,1970,5,6,0,85,57,71
84366,1970,5,7,0,80,60,70
84366,1970,5,8,0,85,61,73
84366,1970,5,9,0,80,64,72
84366,1970,5,10,0,81,67,74
84366,1970,5,11,0,81,66,73.5
84366,1970,5,12,0,80,63,71.5
84366,1970,5,13,0,82,62,72
84366,1970,5,14,0,86,68,77
84366,1970,5,15,0,87,65,76
84366,1970,5,16,0,80,65,72.5
84366,1970,5,17,0.05,80,66,73
84366,1970,5,18,0,78,66,72
84366,1970,5,19,0,81,69,75
84366,1970,5,20,0,90,66,78
84366,1970,5,21,0,80,66,73
84366,1970,5,22,0,84,67,75.5
84366,1970,5,23,0,82,66,74
84366,1970,5,24,0.26,83,69,76
84366,1970,5,25,1.1,86,69,77.5
84366,1970,5,26,0.1,89,68,78.5
84366,1970,5,27,0,87,69,78
84366,1970,5,28,0,84,70,77
84366,1970,5,29,0.69,82,70,76
84366,1970,5,30,0.05,83,72,77.5
84366,1970,5,31,0.08,83,72,77.5
84366,1970,6,1,0,84,75,79.5
84366,1970,6,2,0,83,74,78.5
84366,1970,6,3,0,83,72,77.5
84366,1970,6,4,0.17,81,73,77
84366,1970,6,5,0,88,71,79.5
84366,1970,6,6,0,86,65,75.5
84366,1970,6,7,0.2,83,64,73.5
84366,1970,6,8,0,82,64,73
84366,1970,6,9,0,82,66,74
84366,1970,6,10,0,86,66,76
84366,1970,6,11,0.82,84,69,76.5
84366,1970,6,12,0,84,66,75
84366,1970,6,13,0,87,70,78.5
84366,1970,6,14,0,82,71,76.5
84366,1970,6,15,0,85,70,77.5
84366,1970,6,16,0,86,75,80.5
84366,1970,6,17,0,87,76,81.5
84366,1970,6,18,0,88,72,80
84366,1970,6,19,0,96,73,84.5
84366,1970,6,20,0,92,75,83.5
84366,1970,6,21,0,87,72,79.5
84366,1970,6,22,0,88,73,80.5
84366,1970,6,23,0,90,73,81.5
84366,1970,6,24,0,87,71,79
84366,1970,6,25,1.4,91,72,81.5
84366,1970,6,26,0.17,88,72,80
84366,1970,6,27,0.67,92,72,82
84366,1970,6,28,0.03,85,70,77.5
84366,1970,6,29,0,83,76,79.5
84366,1970,6,30,0,86,75,80.5
84366,1970,7,1,0,91,67,79
84366,1970,7,2,0,96,75,85.5
84366,1970,7,3,0.45,98,74,86
84366,1970,7,4,0.19,93,71,82
84366,1970,7,5,0.03,90,73,81.5
84366,1970,7,6,0,87,72,79.5
84366,1970,7,7,0,93,71,82
84366,1970,7,8,0,87,73,80
