COOPID, YEAR, MONTH, DAY, PRECIPITATION, MAX TEMP, MIN TEMP, MEAN TEMP
81276,1970,1,1,0,83,52,67.5
81276,1970,1,2,0,78,59,68.5
81276,1970,1,3,0,77,54,65.5
81276,1970,1,4,1.07,62,50,56
81276,1970,1,5,0,56,46,51
81276,1970,1,6,0,73,51,62
81276,1970,1,7,0.63,75,53,64
81276,1970,1,8,0,66,37,51.5
81276,1970,1,9,0,49,37,43
81276,1970,1,10,0,50,34,42
81276,1970,1,11,0,50,31,40.5
81276,1970,1,12,0,69,42,55.5
81276,1970,1,13,0,72,49,60.5
81276,1970,1,14,0,64,48,56
81276,1970,1,15,0.5,77,53,65
81276,1970,1,16,0.51,73,55,64
81276,1970,1,17,0,78,52,65
81276,1970,1,18,0,79,53,66
81276,1970,1,19,0.01,73,58,65.5
81276,1970,1,20,0,65,53,59
81276,1970,1,21,0,71,53,62
81276,1970,1,22,0,62,46,54
81276,1970,1,23,0,64,38,51
81276,1970,1,24,0,71,44,57.5
81276,1970,1,25,0,71,44,57.5
81276,1970,1,26,0,75,45,60
81276,1970,1,27,0,74,49,61.5
81276,1970,1,28,0,71,50,60.5
81276,1970,1,29,0,83,56,69.5
81276,1970,1,30,0.41,82,60,71
81276,1970,1,31,0,79,42,60.5
81276,1970,2,1,0,62,47,54.5
81276,1970,2,2,0,72,57,64.5
81276,1970,2,3,0,80,66,73
81276,1970,2,4,1.04,74,39,56.5
81276,1970,2,5,0,52,39,45.5
81276,1970,2,6,0.13,61,50,55.5
81276,1970,2,7,0.25,62,55,58.5
81276,1970,2,8,0.2,69,54,61.5
81276,1970,2,9,0,72,46,59
81276,1970,2,10,0.03,76,51,63.5
81276,1970,2,11,0,64,49,56.5
81276,1970,2,12,0,68,54,61
81276,1970,2,13,0,68,54,61
81276,1970,2,14,0,72,49,60.5
81276,1970,2,15,0,80,51,65.5
81276,1970,2,16,0,81,60,70.5
81276,1970,2,17,0.91,86,65,75.5
81276,1970,2,18,0.02,75,56,65.5
81276,1970,2,19,0,68,45,56.5
81276,1970,2,20,0,71,53,62
81276,1970,2,21,0,73,50,61.5
81276,1970,2,22,0,61,51,56
81276,1970,2,23,0,71,53,62
81276,1970,2,24,0,72,48,60
81276,1970,2,25,0,74,52,63
81276,1970,2,26,0.31,80,55,67.5
81276,1970,2,27,0,67,45,56
81276,1970,2,28,0,68,48,58
81276,1970,2,29,-99.99,-99.9,-99.9,-99.9
81276,1970,3,1,0,75,54,64.5
81276,1970,3,2,0,76,52,64
81276,1970,3,3,0,78,53,65.5
81276,1970,3,4,0,78,54,66
81276,1970,3,5,0,80,62,71
81276,1970,3,6,0.19,76,62,69
81276,1970,3,7,0,78,53,65.5
81276,1970,3,8,2.1,81,59,70
81276,1970,3,9,0.06,78,59,68.5
81276,1970,3,10,0,75,60,67.5
81276,1970,3,11,0,79,55,67
81276,1970,3,12,1.75,77,60,68.5
81276,1970,3,13,1.4,72,63,67.5
81276,1970,3,14,0.01,70,51,60.5
81276,1970,3,15,0,74,50,62
81276,1970,3,16,0,66,54,60
81276,1970,3,17,0,71,53,62
